ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 0},1)},[0])	0.000232
1	1	2	({({x1 => 1, x2 => 1},1)},[0])	0.000129
2	1	2	({({x1 => 1, x2 => 1},0)},[1])	0.000118
3	1	2	({({x1 => 0, x2 => 0},0)},[1])	0.000114
4	1	2	({({x1 => 0, x2 => 0},1)},[0])	0.000116
5	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},[1])	0.000378
6	3	4	({({x1 => 1},1), ({x4 => 1},0), ({x2 => 0, x3 => 0},1)},[0])	0.000350
7	3	4	({({x4 => 0},1), ({x2 => 1},0), ({x1 => 0, x3 => 1},1)},[0])	0.000367
8	1	4	({({x1 => 1, x2 => 1, x3 => 0, x4 => 0},0)},[1])	0.000362
9	2	4	({({x4 => 0},1), ({x1 => 1, x2 => 1, x3 => 1},0)},[1])	0.000277
10	4	6	({({x6 => 1},1), ({x1 => 1, x3 => 1},0), ({x2 => 1},1), ({x4 => 1, x5 => 0},0)},[1])	0.000563
11	3	6	({({x1 => 1},0), ({x6 => 0},1), ({x2 => 0, x3 => 0, x4 => 1, x5 => 1},0)},[1])	0.000490
12	3	6	({({x4 => 1},0), ({x1 => 1, x2 => 0},1), ({x3 => 0, x5 => 1, x6 => 1},0)},[1])	0.000469
13	2	6	({({x1 => 1, x2 => 0, x5 => 0},1), ({x3 => 0, x4 => 1, x6 => 1},0)},[1])	0.000329
14	4	6	({({x1 => 0, x6 => 0},0), ({x5 => 1},1), ({x3 => 0},0), ({x2 => 1, x4 => 0},1)},[0])	0.000529
